Date_of_usage,Azure_region,Service_Type,Demand_units,Capacity_allocated,Cost_USD,Service_availability,Market_Trend_Index,Holiday_Flag
29-06-2024,US North,Storage,471,515,34.63,98.58,1.02,0
10-03-2024,US East,Compute,272,309,48.19,97.01,1.22,0
23-02-2024,US West,Compute,292,340,56.87,99.49,1.27,0
13-08-2024,US North,Storage,460,525,24.59,99.83,1.4,1
19-05-2025,Asia East,Compute,566,627,103.29,97.25,1.33,0
24-04-2024,US South,Storage,340,407,27.38,97.06,1.38,0
27-03-2025,US East,Storage,355,413,32.57,99.42,0.89,0
21-08-2024,Europe West,Compute,464,550,77.35,97.73,1.19,1
03-10-2024,US North,Storage,319,385,30.84,98.73,0.8,0
27-05-2025,US South,Compute,77,81,12.51,98.39,0.97,0
02-08-2024,India South,Storage,176,209,12.6,98.35,1.19,0
08-06-2025,US East,Storage,411,467,40.89,99.03,1.39,0
03-08-2024,Asia East,Storage,219,235,11.87,98.3,0.84,0
04-05-2024,Europe West,Compute,75,90,10.38,99.02,1.16,1
04-02-2024,Europe West,Storage,335,402,25.44,97.85,0.82,0
29-10-2024,US South,Compute,234,278,30.72,99.1,1.08,0
30-04-2025,Asia East,Compute,57,60,8.58,97.73,0.93,0
26-01-2025,US North,Storage,314,361,31.03,98.29,1.34,0
06-02-2024,US South,Compute,291,360,51.4,98.02,1.41,0
14-04-2024,Europe West,Storage,223,248,16.17,99.87,0.98,0
26-04-2025,US East,Storage,284,316,14.5,97.9,1.34,0
08-02-2025,Asia East,Compute,197,242,24.65,97.86,0.95,0
05-02-2025,US West,Storage,695,782,44.96,99.84,1.42,0
24-04-2024,India South,Compute,80,92,11.55,98.06,1.24,0
12-05-2025,US North,Storage,279,347,17.01,98.69,0.83,0
14-04-2025,India South,Compute,582,631,91.93,97.52,1.26,0
13-10-2024,India South,Storage,331,391,21.11,97.91,1.38,0
05-05-2024,US South,Storage,142,171,13.88,97.3,1,0
31-01-2024,India South,Storage,534,661,27.6,98.53,1.34,0
13-12-2024,US South,Storage,169,204,13.46,99.51,1.17,0
24-05-2025,US East,Compute,132,164,16.13,98.14,0.9,0
27-10-2024,US South,Compute,173,210,28.67,99.64,1.14,0
16-06-2025,US East,Compute,92,113,15.73,99.16,1.07,0
26-10-2024,India South,Storage,635,686,59.79,99.91,1.37,0
19-10-2024,US West,Compute,294,338,41.47,98.33,0.83,0
15-04-2024,US North,Storage,78,93,7.62,98.11,0.81,0
17-02-2024,US West,Storage,323,367,28.64,97.34,0.95,0
06-04-2024,Asia East,Compute,571,607,89.63,98.92,1.23,0
22-07-2024,India South,Compute,522,606,76.49,98.41,1.06,0
25-02-2024,Europe West,Compute,159,167,31.74,99.25,0.93,0
18-04-2025,Europe West,Storage,369,426,24.11,98.91,0.95,1
03-04-2024,Europe West,Storage,186,217,17.02,98.57,1.32,0
21-12-2024,US West,Storage,506,554,46.12,99.49,1.3,1
12-08-2024,Europe West,Storage,198,243,11.32,98.65,0.83,0
29-01-2024,Europe West,Storage,473,548,34.54,98.71,1.48,1
01-11-2024,US North,Storage,360,417,28.18,98.04,1.01,0
01-02-2024,US West,Compute,188,206,33.04,99.73,0.91,0
21-02-2024,US East,Storage,157,185,11.05,97.03,0.86,0
01-01-2024,US West,Compute,295,345,53.04,97.64,0.85,0
23-06-2024,Europe West,Compute,497,569,91.66,99.58,1.3,0
18-10-2024,US East,Compute,288,330,57.56,97.35,1.33,0
20-03-2025,Asia East,Compute,460,524,76.41,99.69,1.17,0
01-07-2024,US North,Compute,537,657,80.2,99.06,1.44,0
02-07-2024,US South,Compute,189,214,36.57,97.91,1.12,1
30-03-2024,Europe West,Storage,288,306,23.62,97.05,1.35,1
10-04-2025,US North,Storage,309,367,27.51,98.68,1.07,1
11-08-2024,US West,Compute,93,104,17.39,98.19,1.18,0
02-07-2024,Europe West,Storage,335,409,24.97,99.57,1.38,1
09-01-2024,US South,Storage,134,150,11.78,99.94,0.87,0
26-08-2024,Asia East,Compute,270,307,52.01,98.17,0.86,0
27-01-2025,US South,Storage,175,202,12.81,98.78,0.91,0
25-12-2024,US South,Compute,443,547,65.93,98.58,1.16,0
02-12-2024,India South,Storage,609,746,60.9,99.44,1.44,0
13-01-2024,Europe West,Storage,408,497,34.91,99.06,0.96,0
03-06-2024,US North,Compute,91,113,12.17,97.22,0.97,0
18-11-2024,US North,Storage,213,258,17.01,98.34,1.28,0
26-08-2024,India South,Compute,514,562,75.5,99.17,1.17,0
20-06-2024,US West,Compute,297,347,41.17,99.25,0.92,0
13-06-2025,US South,Compute,328,405,50.51,98.53,1.3,0
06-03-2025,Asia East,Storage,95,113,6.34,97.48,1.18,0
14-02-2025,US South,Storage,373,458,31.88,99.41,1.33,0
15-05-2024,Asia East,Storage,218,271,17.29,98.07,0.87,0
01-07-2024,India South,Storage,414,468,36.51,98.2,1.01,0
13-09-2024,US South,Compute,418,473,76.49,99.1,0.84,0
18-01-2025,Europe West,Compute,205,220,27.99,99.47,1.2,1
19-03-2024,India South,Compute,449,550,88.06,97.6,0.98,0
04-04-2025,US West,Compute,152,167,28.44,97.4,0.83,1
06-06-2024,India South,Compute,353,385,58.98,98.48,1.42,0
27-03-2024,US East,Storage,127,135,8.46,97.93,0.83,0
25-11-2024,Asia East,Compute,399,480,49.47,97.47,0.92,0
03-09-2024,US North,Storage,77,94,4.44,99.54,0.86,0
10-01-2024,US West,Compute,321,367,52.77,97.14,1.05,0
21-05-2024,India South,Compute,592,648,117.66,97.04,1.19,0
19-04-2024,US East,Storage,452,559,24.56,99.9,0.99,0
18-03-2024,US East,Storage,149,159,12.18,98.28,1.13,0
06-10-2024,US South,Storage,387,482,34.94,98.85,1.11,1
24-01-2024,Asia East,Storage,417,446,33.5,99.72,1.12,0
14-04-2025,US East,Compute,169,205,29.42,97.49,0.81,0
19-04-2024,US West,Storage,245,302,21.32,99.04,1.32,0
08-10-2024,India South,Storage,192,224,13.86,99.24,1.06,1
15-03-2025,Europe West,Compute,448,493,62.77,99.99,0.91,0
07-11-2024,US South,Compute,575,689,70.82,99.47,1.46,0
25-02-2024,US West,Storage,503,559,43.86,99.58,1.36,0
07-06-2024,US North,Compute,417,505,54.73,99.22,1,0
15-10-2024,India South,Storage,91,110,6.55,98.04,1.14,0
07-03-2024,India South,Compute,58,64,7.89,99.91,1.13,0
01-01-2024,US North,Compute,387,435,69.47,98.08,1.29,0
20-04-2025,US South,Compute,478,536,75.33,97.13,1.09,0
04-02-2025,US North,Storage,219,270,21.77,97.58,1.39,0
27-06-2025,US South,Compute,64,77,12.57,97.9,0.9,1
06-03-2024,Asia East,Compute,370,434,46.71,98.66,1.43,0
18-09-2024,India South,Storage,436,480,42.71,99.65,1.48,0
03-02-2025,Asia East,Compute,288,309,42.6,99.45,1.16,1
28-08-2024,Europe West,Compute,271,310,37.26,99.5,0.94,1
16-06-2025,US West,Compute,118,137,22.64,99.82,1.04,0
31-05-2024,Europe West,Storage,485,523,41.21,97.62,1.32,0
30-07-2024,Asia East,Compute,176,195,34.11,99.62,0.99,0
31-10-2024,US East,Compute,102,108,19.46,98.74,0.85,0
17-07-2024,US South,Compute,476,510,68.79,97.5,1.26,0
10-11-2024,US West,Storage,107,132,7.95,99.56,1.48,1
25-05-2025,US East,Storage,80,90,4.15,97.47,0.84,1
27-10-2024,Asia East,Compute,117,144,14.72,98.48,1.2,0
27-02-2024,US East,Compute,288,329,41.71,97.2,0.97,0
19-03-2024,US West,Compute,679,828,126.18,98.66,1.39,0
08-06-2024,Asia East,Compute,180,198,23.35,99.1,1.15,1
28-07-2024,US South,Storage,237,288,23.56,99.08,1.1,0
02-09-2024,Europe West,Compute,352,400,43.87,98.82,1.05,0
10-01-2025,US South,Compute,220,263,30.26,97.2,1.27,0
21-11-2024,India South,Storage,307,377,17.66,99.09,0.97,0
01-11-2024,US North,Storage,136,143,10.18,97.77,1.24,0
06-04-2025,India South,Compute,167,193,29.02,98.18,1.08,0
27-01-2025,Europe West,Compute,238,287,45.84,99.76,1.06,0
28-11-2024,Asia East,Compute,665,824,95.46,98.65,1.4,0
08-01-2024,US North,Storage,415,445,37.02,99.08,1.23,0
27-10-2024,US North,Compute,63,76,12.48,99.15,1.19,0
19-06-2024,India South,Compute,720,776,104.9,98.03,1.45,0
14-01-2025,Asia East,Compute,279,303,52.59,98.42,0.89,0
10-03-2025,Europe West,Storage,695,828,48.07,99.99,1.47,0
01-03-2024,Europe West,Compute,319,384,54.92,99.96,1.21,0
31-01-2025,Asia East,Storage,76,82,4.43,99.21,1.14,0
06-04-2025,India South,Compute,311,364,59.84,97.78,1.24,0
17-04-2025,Asia East,Compute,355,388,66.56,98.14,1.32,0
11-02-2024,India South,Compute,366,445,54.14,98.79,1.13,0
29-04-2024,US East,Compute,320,359,61.98,99.2,0.99,0
04-06-2025,US South,Compute,87,96,17.25,98.21,1.31,0
17-06-2024,Europe West,Storage,389,416,34.98,97.27,1.18,0
28-09-2024,India South,Storage,692,791,50.95,99.93,1.41,0
14-05-2024,US South,Compute,686,748,92.16,97.49,1.44,0
10-03-2025,US West,Storage,274,317,17.05,97.55,1.07,0
15-08-2024,Asia East,Compute,592,653,101.5,98.32,1.32,0
12-08-2024,India South,Storage,297,364,26.85,99.75,1.2,0
09-11-2024,US West,Compute,680,801,103.15,97.15,1.46,0
09-06-2024,India South,Compute,429,518,81.41,98.33,1.24,0
09-03-2024,Europe West,Compute,79,94,9.63,98.53,0.88,1
19-02-2024,Europe West,Compute,524,595,104.29,99.38,1.14,0
22-03-2024,Europe West,Storage,338,381,25.93,97.16,0.87,0
17-10-2024,India South,Compute,85,96,16.26,99.95,1.21,0
29-04-2025,US South,Compute,286,337,47.33,99.32,1.21,0
24-03-2024,Europe West,Compute,457,488,56.09,98.78,1.17,1
01-05-2024,US North,Storage,395,473,35.91,99.24,1.16,0
29-06-2025,US East,Storage,707,811,62.83,97.36,1.43,0
05-02-2024,US North,Compute,142,162,22.79,99.14,0.99,0
06-06-2025,US West,Compute,432,499,57.48,97.64,1.38,1
20-01-2025,India South,Storage,352,425,29.8,98.26,1.4,0
31-01-2025,Europe West,Storage,459,559,39.52,97.24,1.12,0
23-02-2024,Asia East,Compute,510,541,96.99,97.71,1.25,0
15-12-2024,India South,Compute,146,161,22.1,97.44,1.49,0
04-05-2025,Asia East,Storage,371,435,37.08,98.56,1.1,0
24-02-2024,US East,Storage,395,416,30.54,99.72,1.19,0
13-03-2025,US North,Compute,512,597,101.5,97.34,1.44,0
26-09-2024,Asia East,Compute,112,138,15.55,99.66,1.44,0
19-05-2024,US South,Compute,659,781,92.56,98.59,1.44,0
12-02-2025,Asia East,Compute,190,234,33.32,97.95,0.99,0
22-05-2025,Asia East,Storage,119,135,6.21,97.31,1.07,1
25-04-2025,US South,Storage,397,422,36.95,99.1,1.27,1
02-01-2024,US West,Compute,282,321,51.71,98.12,0.97,0
04-11-2024,US North,Compute,274,340,39.37,99.09,0.9,1
11-04-2025,US South,Compute,418,508,80.09,99.88,1.39,0
12-01-2025,US North,Compute,243,269,42.76,99.41,1.41,0
19-06-2024,Europe West,Storage,440,517,39.31,98.37,1.18,0
24-05-2024,Europe West,Storage,580,664,38.97,99.99,1.16,0
30-06-2025,Europe West,Storage,291,312,14.77,97.24,1.16,0
19-05-2025,US West,Compute,231,287,40.04,97.5,1.36,0
30-04-2025,Asia East,Storage,162,201,12.65,98.62,1.31,0
10-03-2024,US West,Storage,296,332,27.74,98.42,0.99,0
21-06-2024,US West,Storage,52,64,4.11,99.28,1,0
09-03-2024,US South,Compute,424,497,69.15,97.32,1.18,0
21-05-2024,Europe West,Compute,553,684,72.32,98.58,1.35,0
08-11-2024,India South,Compute,144,153,26.17,98.53,1.4,0
13-04-2025,India South,Storage,120,140,8.92,98.41,1.08,1
23-02-2024,Asia East,Compute,502,593,64.1,98.21,1.02,0
24-01-2025,India South,Compute,231,247,38.45,99.74,1.36,0
06-04-2025,US North,Compute,520,587,70.31,99.91,1.43,0
12-04-2025,Europe West,Compute,287,336,44.09,99.44,0.94,1
07-01-2025,US South,Storage,152,180,12.84,99.56,1.27,0
12-06-2024,Europe West,Compute,102,111,15.52,97.48,1.06,0
14-01-2025,Asia East,Storage,343,377,33.95,99.35,1.18,0
06-05-2024,US East,Compute,85,104,15.25,97.62,1.09,0
15-11-2024,Asia East,Compute,253,297,36.05,97.41,1.3,0
10-12-2024,US West,Storage,291,362,22.36,99.74,0.88,1
01-04-2024,US South,Compute,583,627,114.24,99.58,1.17,0
19-05-2025,US South,Storage,743,896,49.2,99.04,1.49,0
12-05-2025,Europe West,Storage,293,342,16.31,98.87,1.16,0
26-10-2024,Asia East,Storage,615,675,37.77,98.96,1.34,0
16-06-2025,US West,Compute,173,200,28.55,99.98,1.24,0
01-09-2024,India South,Compute,511,580,67.09,97.01,1.15,0
17-01-2025,US North,Storage,492,579,32.56,97.83,1.13,0
13-01-2024,US East,Storage,478,518,38.11,97.35,1.49,0
16-05-2024,Asia East,Compute,103,110,17.63,97.34,1.34,0
29-08-2024,US East,Storage,550,626,39.88,99.11,1.43,0
27-04-2025,US East,Compute,230,259,39.82,98.27,1.17,0
27-05-2024,US West,Compute,680,731,116.9,97.58,1.37,0
16-12-2024,US West,Storage,207,238,12.08,97.02,1.45,0
25-10-2024,US North,Storage,277,326,20.85,99.34,1.33,0
28-06-2025,US West,Storage,565,615,49.02,99.08,1.37,0
14-05-2024,US East,Compute,264,323,40.34,98.41,0.86,0
15-02-2024,Asia East,Compute,356,428,64.62,97.6,1.21,0
14-04-2025,Asia East,Compute,405,469,75.72,97.98,1.11,0
24-04-2024,India South,Compute,211,227,25.5,97.49,0.86,1
31-01-2024,US South,Storage,87,103,7,99.24,1.41,1
16-02-2025,India South,Compute,430,500,66.34,97.12,1.38,0
13-11-2024,US South,Compute,104,109,13.81,99.11,1.3,0
11-02-2024,India South,Compute,244,285,36.55,98.11,1.11,0
20-03-2025,US West,Compute,587,733,77.23,97.4,1.25,0
20-08-2024,US South,Compute,582,726,112.02,97.03,1.21,0
14-05-2024,US West,Storage,142,161,12.85,99.28,1.36,0
15-04-2025,India South,Storage,317,354,27.1,99.71,0.98,0
15-05-2025,US West,Storage,142,154,7.27,98.55,1.31,0
17-04-2024,US West,Compute,362,436,55.84,99.88,1.02,0
09-06-2025,India South,Storage,226,241,16.15,98.93,1.37,0
22-07-2024,US East,Storage,75,83,5.01,98.08,1.4,1
03-10-2024,Asia East,Storage,652,719,37.74,99.23,1.31,0
18-12-2024,India South,Compute,507,631,90.36,99.21,1.18,0
04-12-2024,India South,Storage,244,280,12.4,99.12,0.92,0
29-07-2024,US South,Compute,462,531,58.68,99.66,1.24,0
15-04-2024,Asia East,Storage,178,205,17.69,98.02,1.06,0
14-10-2024,US East,Storage,585,710,57.11,99.5,1.34,0
19-01-2024,Europe West,Storage,104,111,9.52,98.44,0.99,0
21-04-2024,Asia East,Storage,617,741,55.57,99.54,1.39,0
28-01-2024,Asia East,Storage,355,406,32.46,99.85,1.13,1
23-02-2025,Europe West,Compute,430,509,58.15,98.39,1.23,1
11-02-2025,India South,Compute,446,538,62.56,97.37,1.4,0
25-10-2024,India South,Storage,88,106,6.21,98.01,0.92,0
07-07-2024,Asia East,Compute,56,60,7.13,99.25,1.12,1
22-02-2024,Asia East,Compute,335,407,52.63,97.79,1.19,1
19-12-2024,Asia East,Compute,410,496,65.43,98.41,0.97,0
16-01-2025,US East,Compute,526,557,100.14,97.59,1.25,0
21-06-2024,US South,Compute,610,756,77.99,99.76,1.42,0
24-11-2024,US North,Storage,258,273,20.36,97.68,1.04,0
12-01-2024,US North,Compute,419,476,82.82,98.07,1.22,0
26-03-2025,US South,Storage,200,227,10.85,99.64,1.02,0
09-07-2024,India South,Storage,119,140,9.82,98.67,1.28,0
01-06-2024,US West,Compute,83,102,12.69,97.4,1.18,0
11-04-2025,India South,Compute,173,211,23.67,97.86,0.81,1
07-12-2024,India South,Storage,125,135,9.53,98.42,1.22,0
17-02-2025,US North,Storage,372,453,23.63,98.79,1.03,0
04-03-2024,US South,Compute,593,645,96.04,98.8,1.48,0
14-01-2025,Asia East,Storage,501,595,31.44,98.3,1.45,0
08-11-2024,India South,Storage,498,614,44.73,98.39,1.42,0
30-01-2025,US West,Compute,365,398,68.96,97.54,0.91,0
08-01-2024,Asia East,Storage,78,83,5.58,99.3,1.47,1
31-10-2024,India South,Compute,211,236,31.16,97.82,1.03,0
02-06-2025,India South,Compute,44,48,5.44,97.79,1.07,1
01-03-2024,Asia East,Compute,154,190,20.22,98.48,1.43,0
14-07-2024,India South,Storage,595,650,35.38,99.57,1.35,0
26-09-2024,India South,Storage,316,349,27,97.23,1.36,0
25-03-2024,US North,Compute,447,495,54.94,98.73,0.96,0
24-04-2024,Europe West,Storage,405,496,37.56,98.47,0.88,0
16-05-2024,US North,Compute,402,449,64.51,98.51,1.14,0
05-08-2024,US West,Storage,135,153,11.48,98.06,0.96,0
01-11-2024,US South,Storage,478,591,29.19,97.13,1.44,0
06-03-2024,US East,Compute,260,302,39.83,97.22,1.49,0
13-11-2024,US South,Storage,443,487,43.51,99.2,1.14,0
28-08-2024,US South,Compute,694,791,84.36,97.37,1.5,0
27-03-2024,US East,Compute,82,89,13.65,99.73,0.92,0
03-06-2024,India South,Compute,94,103,12.41,99.72,1.3,0
11-03-2025,US East,Compute,258,271,49.06,97.41,0.85,0
20-10-2024,US East,Storage,328,363,23.61,97.44,1.32,0
04-06-2025,US North,Compute,488,529,91.82,99.33,1.16,0
06-12-2024,US East,Storage,263,285,17.31,98.14,1.08,0
11-02-2024,US West,Storage,64,69,5.61,99.61,1.06,0
15-07-2024,US South,Compute,252,304,32.77,97.51,1.44,0
06-08-2024,Europe West,Compute,562,611,92.63,99.59,1.41,0
02-04-2025,Europe West,Storage,323,349,32.24,98.48,1.01,0
24-05-2024,US North,Storage,273,311,15.68,98.73,0.91,1
06-06-2024,US North,Storage,284,327,18.95,98.63,0.93,0
07-03-2024,Asia East,Storage,605,698,35.05,97.48,1.3,0
19-12-2024,India South,Compute,180,195,28.48,99.12,1.1,0
08-02-2025,US West,Storage,296,350,18.37,97.09,1.41,0
26-04-2024,Europe West,Compute,178,194,31.65,97.4,1.04,0
08-03-2024,US North,Storage,414,451,31.92,98.11,1.32,0
24-09-2024,India South,Compute,418,490,53.92,99.37,1.12,0
16-04-2024,India South,Storage,329,388,18.27,99.33,0.81,0
25-05-2025,US South,Storage,114,141,7.32,97.9,1.43,1
07-06-2025,US North,Storage,327,365,25.83,97.45,1.41,0
27-05-2025,US East,Storage,599,741,55.75,99.53,1.44,0
20-06-2025,Asia East,Compute,333,398,62.03,99.04,1.42,0
13-01-2025,Europe West,Compute,141,164,27.53,99.97,0.82,0
07-11-2024,US East,Compute,389,446,49.39,97.63,1.39,1
11-05-2025,US South,Compute,579,702,98.44,99.82,1.22,0
07-03-2024,Europe West,Storage,375,440,36.88,98.94,1.41,0
11-06-2024,US South,Compute,598,721,81.53,99.84,1.38,0
15-09-2024,Europe West,Compute,88,102,13.36,97.42,1.13,0
25-05-2025,Europe West,Storage,311,386,16.1,97.9,1.33,0
28-05-2024,Asia East,Storage,85,90,4.55,98,1.17,0
20-08-2024,US South,Compute,242,282,45.15,99.07,1.14,0
29-07-2024,US South,Compute,54,61,8.59,99.86,0.93,1
10-02-2025,US East,Storage,61,75,5.51,97.99,0.85,0
19-07-2024,India South,Storage,222,259,13.12,97.43,1.32,1
03-06-2025,Asia East,Storage,466,577,41.8,98.4,1.19,0
10-02-2024,US South,Compute,164,200,26.52,98.2,1.08,0
20-01-2025,US North,Compute,214,254,31.46,98.63,0.82,0
03-10-2024,US South,Storage,315,359,19.08,97.69,1.48,0
16-04-2025,India South,Compute,170,205,25.69,99.41,1.02,0
17-11-2024,US South,Storage,324,355,19.66,97.85,1.08,0
19-05-2024,Asia East,Compute,459,531,70.04,97.15,1.38,0
13-06-2024,US East,Storage,345,423,25.66,99.89,1.29,0
26-05-2024,India South,Storage,338,390,30.21,99.68,1.01,0
23-08-2024,US West,Compute,217,228,36.42,99.54,1.1,0
21-06-2025,Asia East,Compute,293,309,50.33,99.46,1.41,0
02-12-2024,US East,Compute,288,331,41.44,98.57,0.83,0
08-01-2024,Europe West,Storage,257,306,21.3,99.59,0.84,0
15-02-2025,US West,Compute,434,457,76.24,97.97,1.03,0
29-01-2024,US South,Compute,47,57,6.07,99.38,0.84,0
03-01-2025,Asia East,Compute,461,503,72.98,97.9,1.23,0
16-03-2024,US South,Storage,375,408,31.75,98.2,1.29,0
12-01-2024,Europe West,Storage,127,152,10.55,97.33,0.89,0
29-01-2024,US North,Storage,354,400,24.49,97.11,0.83,0
14-02-2025,India South,Compute,265,326,44.41,97.53,1.32,0
18-02-2025,US West,Compute,438,528,58.7,98.96,0.94,0
03-11-2024,US South,Storage,431,492,21.88,99.32,0.87,0
28-11-2024,US East,Storage,279,310,21.77,98.42,0.92,0
21-02-2024,US East,Storage,323,387,28.88,98.55,0.95,0
02-09-2024,US South,Storage,362,426,35.38,97.2,0.82,0
22-07-2024,Asia East,Compute,264,312,36.04,97.25,0.99,0
29-08-2024,US South,Compute,108,120,16.95,98.86,1.25,0
06-11-2024,Europe West,Storage,123,146,12.23,99.96,1.5,0
30-07-2024,Europe West,Compute,258,275,48.68,98.38,1.33,1
10-02-2025,Europe West,Storage,277,340,19.61,98.24,1.47,0
02-03-2024,Asia East,Compute,250,272,36.44,99.9,1.09,0
02-08-2024,Europe West,Storage,157,192,12.91,99.07,0.86,0
17-05-2025,US North,Compute,595,734,106.58,97.37,1.5,1
04-06-2025,Asia East,Storage,209,226,11.99,97,1.32,1
02-09-2024,US North,Compute,431,479,77.21,97.31,1.43,0
27-01-2024,US East,Compute,508,556,73.72,98.95,1.33,0
20-09-2024,US South,Compute,420,508,51.03,97.26,1.34,0
14-03-2024,US North,Storage,704,833,58.09,98.66,1.43,0
30-12-2024,US East,Storage,59,68,5.71,99.26,0.99,0
01-05-2024,US West,Storage,79,94,7.31,99.8,1.4,0
30-03-2025,US West,Storage,687,785,51.53,99.03,1.43,0
21-03-2025,Europe West,Storage,271,313,17.06,97.51,1.37,0
08-07-2024,US East,Storage,313,372,17.46,99.04,0.94,1
20-08-2024,India South,Storage,56,60,5.59,98.89,0.89,0
11-06-2024,US East,Compute,231,246,32.52,99.38,0.83,0
11-11-2024,Europe West,Compute,428,517,79.53,98.73,1.37,0
01-06-2025,Asia East,Compute,268,294,37.97,97.84,1.32,1
10-07-2024,US East,Storage,426,506,28.52,99.26,0.97,0
11-05-2025,US South,Compute,477,574,73.72,99.48,1.16,0
11-10-2024,US North,Storage,277,343,27.33,99.09,1.14,0
25-06-2024,Asia East,Storage,185,205,12.28,98.61,0.87,0
13-01-2025,US East,Storage,299,321,27.45,99.07,0.9,0
09-01-2024,Europe West,Storage,490,571,45.65,98.86,1.17,0
01-05-2024,Asia East,Storage,333,366,32.15,97.26,0.83,0
12-03-2024,Asia East,Storage,431,497,26.6,99.07,1.03,0
28-09-2024,US North,Storage,341,405,21.34,98.36,1.14,0
28-03-2024,Asia East,Storage,371,429,29.9,98.79,1.48,0
15-03-2025,US South,Compute,437,469,66.22,98.09,1.22,1
08-09-2024,US West,Storage,513,584,43.24,99.36,1.14,0
27-11-2024,US South,Compute,88,95,11.35,99,1.46,1
23-05-2025,Europe West,Storage,222,242,19.76,97.49,1.11,1
09-04-2025,US South,Storage,183,221,12.4,97.75,0.81,0
25-04-2024,US North,Storage,306,327,24.01,99.17,0.95,0
10-02-2025,US East,Storage,117,130,8.45,99.86,0.83,0
28-06-2025,US South,Compute,209,232,34.93,98.35,1.26,0
03-01-2025,US East,Storage,440,546,43.9,97.29,1.22,0
26-09-2024,US East,Compute,123,147,19.46,97.73,1.31,0
06-03-2025,Asia East,Storage,283,346,25.11,98.07,1.24,1
08-06-2024,US South,Compute,412,465,66.44,97.52,1.49,0
15-01-2024,US South,Compute,84,99,16.26,97.61,1.41,0
08-04-2025,US North,Storage,270,319,14.32,97.19,1.17,0
21-09-2024,US North,Storage,73,86,5.07,99.94,1.27,0
14-11-2024,Asia East,Storage,285,310,16.53,97.35,1.09,0
23-10-2024,Europe West,Storage,130,154,12.61,98.96,1.21,0
09-09-2024,Europe West,Storage,184,204,11.19,97.84,0.89,1
29-01-2024,US East,Compute,342,395,68.12,98.71,1.24,0
12-06-2024,US North,Storage,315,343,26.51,97.08,0.84,0
15-04-2025,India South,Compute,483,553,64.09,99.07,1,0
23-04-2025,Europe West,Compute,129,148,16.52,98.74,1.17,0
20-10-2024,Europe West,Compute,113,135,22.45,99.31,1.37,1
17-02-2024,India South,Compute,84,91,12.01,98.98,1.42,1
04-05-2025,US South,Storage,237,294,22,99.42,0.98,0
28-04-2024,Europe West,Storage,249,306,20.25,97.53,1.15,0
20-01-2025,US West,Compute,249,310,35.27,98.69,1.44,1
24-03-2024,Asia East,Compute,411,463,63.71,99.58,1.4,0
26-04-2024,US West,Compute,161,193,20.55,97.38,0.97,0
08-10-2024,US East,Storage,546,609,34.45,98.89,1.23,0
04-02-2024,Europe West,Storage,433,485,22.93,99.62,1.47,0
20-01-2024,Europe West,Compute,348,368,66.32,99.66,0.93,0
23-06-2025,US South,Compute,227,276,29.44,99.42,1.14,0
23-07-2024,Europe West,Storage,122,129,6.79,98.48,1.39,0
10-06-2024,Europe West,Storage,279,300,26,99.16,0.85,0
24-04-2025,Europe West,Storage,200,223,16.92,97.62,1.42,0
29-09-2024,US North,Storage,245,304,23.48,99.95,1.03,1
09-11-2024,Asia East,Compute,318,377,57.94,99.07,1.5,0
19-09-2024,US South,Storage,330,376,30.86,99.9,1,0
26-06-2025,US East,Storage,510,590,32.51,99.37,1.38,0
04-01-2025,Europe West,Compute,359,406,68.72,97.67,0.96,0
28-02-2024,US West,Compute,257,287,38.6,98.88,1.42,0
22-05-2025,India South,Storage,264,278,24.97,98.92,0.83,0
22-05-2025,US East,Compute,249,303,39.26,98.33,1.24,0
12-09-2024,US West,Compute,136,144,22.11,97.1,0.91,1
24-10-2024,Asia East,Storage,537,599,33.91,97.85,1.42,1
12-05-2024,India South,Compute,253,271,44.74,99.32,1.1,0
29-05-2024,US East,Storage,71,84,5.79,97.51,1.1,0
03-09-2024,US North,Compute,356,440,59.13,99.02,1.25,0
23-03-2025,US North,Compute,86,103,17.02,98.21,1.05,0
10-05-2025,US East,Compute,422,487,70.3,97.31,0.86,0
06-09-2024,US South,Compute,504,579,83.47,99.63,1.24,0
03-12-2024,US East,Compute,415,484,71.08,97.54,1.38,1
02-10-2024,US North,Compute,59,69,10.83,97.62,1.25,1
04-07-2024,India South,Storage,600,687,36.53,98.04,1.39,0
15-04-2025,US South,Compute,337,401,54.28,99.47,0.91,0
16-03-2025,Asia East,Compute,249,288,49.57,98.84,0.88,0
21-04-2025,US North,Compute,181,211,23.31,99.54,1.26,0
02-03-2024,US East,Compute,393,426,71.47,98.19,1.26,0
11-06-2025,US West,Storage,116,123,6.61,98.96,1.03,0
14-12-2024,US West,Storage,352,403,25.67,98.7,0.84,0
05-02-2025,US East,Compute,151,164,27.77,97.21,0.94,1
10-07-2024,Europe West,Storage,358,437,25.45,98.21,1.17,0
26-07-2024,US West,Storage,100,106,5.01,97.86,1.43,1
11-05-2025,Europe West,Storage,262,326,25.12,98.82,0.83,1
28-07-2024,US South,Storage,524,560,49.48,98.16,1.16,0
16-03-2024,US East,Compute,71,77,9.35,99.18,0.95,1
14-01-2025,India South,Storage,397,494,37.13,97.4,1.23,0
08-12-2024,Europe West,Compute,387,448,68.87,98.1,1.11,1
29-05-2024,US South,Compute,246,275,42.11,98.45,0.9,1
27-05-2024,Asia East,Storage,117,139,6.25,97.03,1.06,1
